date,spy_voltarget,momentum_hrp,momentum_ml_hrp,momentum_equal,SPY
2025-02-28,137760.6764266016,118624.56739498087,103623.4334207985,117863.60239067074,144979.93230454845
2025-03-03,135689.77472922154,117712.24966362504,102769.66210150336,116834.26478762752,142439.89208897346
2025-03-04,134308.9515131435,115449.27777791373,100885.35908816927,114847.59277676612,140753.85194587804
2025-03-05,135315.2355430817,116172.88847180923,101506.42849165577,115712.14632864778,142266.65207427045
2025-03-06,133634.69719773554,114436.77420371793,99988.34373864126,113895.0905732525,139741.25185993797
2025-03-07,134177.55924813572,115135.98434396705,100714.53024095218,114469.83587103234,140524.4919264121
2025-03-10,133088.92982186665,115141.4747030574,100718.96569366341,114476.59275021822,136781.53160874447
2025-03-11,132767.20601360375,115105.89718453221,100687.84458046727,114441.22067330348,135644.49151224305
2025-03-12,132988.71924586841,115049.96394064739,100638.91748024992,114385.61041472452,136364.291573333
2025-03-13,132477.217699042,115134.50309875992,100712.86734573205,114469.66140329881,134546.491419055
2025-03-14,133318.39949778392,115156.03213202942,100731.69967325678,114491.06611763181,137325.6516549243
2025-03-17,133647.19780525658,115234.40458427113,100800.25526844105,114568.98600984484,138384.61174479898
2025-03-18,133213.8429665651,115235.34090659909,100801.07430794589,114569.91692539978,136888.89161785616
2025-03-19,133659.2677504801,115283.72267341657,100843.39582176058,114618.01931275227,138379.73174438483
2025-03-20,133563.740907815,115308.17155375697,100864.78225915512,114642.32701356245,137979.57171042296
2025-03-21,133607.49741307512,115309.61719736423,100866.04682285176,114643.76430933201,138024.84054626492
2025-03-24,134783.07115255218,115267.49930243543,100829.20457443203,114601.88962327561,140496.64963438382
2025-03-25,134951.45174456117,115263.66232517122,100825.8482132039,114598.07480255353,140834.38196523572
2025-03-26,134158.37081109773,115296.95182926267,100854.96790642646,114631.17207712433,139153.06231816873
2025-03-27,133996.07241631226,115367.00593739409,100916.2471051842,114700.82165932501,138783.5146228163
2025-03-28,132677.37362692782,115477.33807835792,101012.75914960002,114810.51668972956,135988.65721823042
2025-03-31,132931.47630995951,115579.77443598105,101102.36442880837,114912.36153082336,136901.5134458228
2025-04-01,133065.803125325,115633.38922056237,101149.26347767713,114965.66671799189,137288.19249129092
2025-04-02,133328.61587744328,115639.79176023105,101154.86404146098,114972.03228633387,138156.99667572873
2025-04-03,131367.66012050147,115726.60597200222,101230.80398959568,115058.3451913187,131348.50867261324
2025-04-04,129090.63154515068,115572.28858648961,101095.81624953535,114904.91890820774,123658.97980640581
2025-04-07,129031.52898340252,115252.85514970223,100816.39473401134,114587.33003288528,123438.71959063286
2025-04-08,128444.97539581984,115119.20520192324,100699.48564855775,114454.45184383618,121505.32436329235
2025-04-09,132491.73720926934,115514.32329822292,101045.11163683682,114847.28833924317,134265.73286373963
2025-04-10,131288.81829793408,115492.29813257826,101025.84532199518,114825.39035744067,128382.33776687058
2025-04-11,131821.82351695644,115618.53201667812,101136.26727268515,114950.89530670978,130673.04401090945
2025-04-14,132087.99826099645,115832.75919414725,101323.66056249499,115163.88543398066,131940.7639194694
2025-04-15,132033.8446741437,115896.5726534317,101379.48081000388,115227.33040382602,131571.21622411697
2025-04-16,131434.42042998484,116032.7375816286,101498.58985187704,115362.70905059304,128646.65002579811
2025-04-17,131518.9053385015,116090.31636731313,101548.95637493052,115419.95534882623,128830.20020560894
2025-04-21,130878.70679260256,116017.98971328282,101485.68928716042,115348.04634349373,125763.68853490308
2025-04-22,131587.43695237263,116149.38437654404,101600.625582839,115478.68227111668,129035.77640699706
